SessionID,CalculatedOptimalDifficulty,SelectedOptimalDifficultyMedian,SelectedOptimalDifficultyRange,DifficultyPreferenceDelta,DifficultyPreferenceFactor,Treatment,Condition,ConditionDifficultyMean,ConditionDifficultyMedian,TrialDurationMean,NrTrialsFalse,NrTrialsCorrect,PctTrialsCorrect
session_63-SP,6,12,0,6,OVER_PREF,SP,MATH_AUTONOMY,10.5,10.5,23189.25,12,0,0
session_63-SP,6,12,0,6,OVER_PREF,SP,MATH_BOREDOM,0,0,9122.33333333333,24,0,0
session_63-SP,6,12,0,6,OVER_PREF,SP,MATH_FLOW,6.625,6.5,16410.5625,3,13,0.8125
session_63-SP,6,12,0,6,OVER_PREF,SP,MATH_OVERLOAD,16.2857142857143,16,18559.4285714286,14,0,0
session_64-MP,4,6,3,2,OVER_PREF,MP,MATH_AUTONOMY,6.125,6,16206.3125,7,9,0.5625
session_64-MP,4,6,3,2,OVER_PREF,MP,MATH_BOREDOM,0,0,10906.1428571429,3,18,0.857142857142857
session_64-MP,4,6,3,2,OVER_PREF,MP,MATH_FLOW,4.5,4.5,13834.5555555556,5,13,0.722222222222222
session_64-MP,4,6,3,2,OVER_PREF,MP,MATH_OVERLOAD,14.8,15,27592.7,10,0,0
session_64-SP,4,1,0,-3,UNDER_PREF,SP,MATH_AUTONOMY,2.94444444444444,3,13300.1111111111,2,16,0.888888888888889
session_64-SP,4,1,0,-3,UNDER_PREF,SP,MATH_OVERLOAD,14.6363636363636,15,26560.2727272727,11,0,0
session_65-SP,5,7,0,2,OVER_PREF,SP,MATH_AUTONOMY,6,6,18700.9285714286,5,9,0.642857142857143
session_65-SP,5,7,0,2,OVER_PREF,SP,MATH_BOREDOM,0,0,9598.04347826087,0,23,1
session_65-SP,5,7,0,2,OVER_PREF,SP,MATH_FLOW,6.14285714285714,6,18895.5714285714,2,12,0.857142857142857
session_65-SP,5,7,0,2,OVER_PREF,SP,MATH_OVERLOAD,15.8,16,28001.2,10,0,0
session_65b-SP,6,6,0,0,BAL_PREF,SP,MATH_AUTONOMY,7.85,8,12488.85,3,17,0.85
session_65b-SP,6,6,0,0,BAL_PREF,SP,MATH_BOREDOM,0,0,9539.39130434783,0,23,1
